y,y_pred
0.0009023267360576861,-0.0015795404
0.005185973110569732,-0.0015352657
-0.0003359746942125279,-0.0014370142
-0.010352497185996661,-0.0015013971
-0.043111890195757716,-0.0014121777
0.04978932079907979,-0.001158087
0.009624008820368811,-0.0015320074
-0.016670737227661866,-0.0018838005
-0.0017032839711194196,-0.0017553034
0.0016256931591307742,-0.0014890819
-0.0058236587355193214,-0.0014633462
0.010618680735787502,-0.0013523187
-0.012867089422538027,-0.0015913796
-0.0028214225060564212,-0.001575953
-0.0006223356371504278,-0.0016616432
0.017776181866203358,-0.0015396901
0.0037184528991632774,-0.0018403362
-0.009716715885090849,-0.0018610359
0.022290521630865735,-0.001624776
-0.020008093284258486,-0.001585789
0.006706211969364427,-0.0016341646
0.01514100748406514,-0.0017310791
-0.02826631209166648,-0.0018326188
0.005152763095587263,-0.0019121604
-0.004324070330475761,-0.001805759
0.014442259816130981,-0.0020064658
-0.025175400226666086,-0.0019272384
0.021862647523470523,-0.002103572
-0.016183144261848453,-0.0020723883
