y,y_pred
0.0148592042364229,-0.001819757
-0.034316828830171876,-0.0019898592
0.004589795848715283,-0.0022732615
0.04029939312601898,-0.0020338153
-0.01101026403642697,-0.0021874069
-0.0048419170146855725,-0.00218612
-0.017728915971602338,-0.0021726505
0.008734582674434496,-0.0020238808
0.025273334340094357,-0.0021201824
-0.016314327199695815,-0.0020732563
0.004698372330839781,-0.002203152
-0.0021500729108081622,-0.001953985
-0.0069272882335063325,-0.0020891773
0.03669046473054082,-0.0018410841
-0.010171054114226044,-0.0020281896
-0.005347601662070944,-0.0022126113
-0.022977832487914834,-0.0023512265
-0.008284403942961715,-0.0020189732
0.004386849334197737,-0.002101597
0.06444182344878042,-0.0019563786
-0.02087872395525399,-0.0021512494
-0.03911661785543882,-0.0026302494
0.012966146280829446,-0.0021564276
0.003017227448244316,-0.0017750124
0.04937398382418486,-0.002036987
-0.04945249656337216,-0.002065655
-0.018187381573514835,-0.0023907223
0.01629132797345202,-0.0021934835
-0.003658968476590932,-0.0020472212
