Ticker,MSE,MAE,Match %,Different %,Pct Diff%,Edge,tradable
FICO.US,0.003927735146135092,0.04050901159644127,82.75862068965517,17.24137931034483,65,32,True
FITB.US,0.000335896824253723,0.012879171408712864,77.13004484304933,22.869955156950674,54,27,True
FMC.US,0.0035656276158988476,0.029140742495656013,71.04072398190046,28.95927601809955,42,21,True
FOXA.US,0.05063799023628235,0.018102843314409256,54.395604395604394,45.604395604395606,8,4,True
FTNT.US,0.001101706875488162,0.0209528636187315,73.70689655172413,26.29310344827586,47,23,True
GAP.US,0.001147931208834052,0.02286187745630741,73.42342342342343,26.576576576576578,46,23,True
GDDY.US,0.0013340397272258997,0.02587481029331684,68.96551724137932,31.03448275862069,37,18,True
GE.US,0.0004743918252643198,0.015057003125548363,70.91633466135458,29.08366533864542,41,20,True
GEN.US,0.000856135506182909,0.020184723660349846,51.08695652173913,48.91304347826087,2,1,True
GILD.US,0.0003955116553697735,0.014717363752424717,74.32432432432432,25.675675675675674,48,24,True
GOOG.US,0.0020216640550643206,0.01820201799273491,52.98804780876494,47.01195219123506,5,2,True
GOOGL.US,0.0004716383118648082,0.015685636550188065,72.07446808510637,27.925531914893615,44,22,True
GRMN.US,0.0018488885834813118,0.019496707245707512,53.21888412017167,46.78111587982833,6,3,True
GS.US,0.005056069698184729,0.020211730152368546,48.40425531914894,51.59574468085106,3,0,False
GT.US,0.0014061748515814543,0.025225218385457993,62.06896551724138,37.93103448275862,24,12,True
GWW.US,0.0003461895103100687,0.012400017119944096,76.92307692307693,23.076923076923077,53,26,True
HAS.US,0.0004197520902380347,0.014527975581586361,70.08547008547008,29.914529914529915,40,20,True
HD.US,0.0002930695191025734,0.011758580803871155,73.70517928286853,26.294820717131472,47,23,True
HGV.US,0.001333729363977909,0.025188814848661423,68.96551724137932,31.03448275862069,37,18,True
HII.US,0.0005818621139042079,0.017453838139772415,66.92913385826772,33.07086614173229,33,16,True
HOLX.US,0.00031963991932570934,0.01047301571816206,58.371040723981906,41.6289592760181,16,8,True
HON.US,0.0003113072307314724,0.012023098766803741,73.6,26.400000000000002,47,23,True
HSIC.US,0.03442741185426712,0.018303660675883293,46.98275862068966,53.01724137931034,6,0,False
HST.US,0.0005553858354687691,0.018122954294085503,55.65217391304348,44.34782608695652,11,5,True
HUBS.US,0.0025133632589131594,0.0374140739440918,68.96551724137932,31.03448275862069,37,18,True
IBKR.US,0.0011741529451683164,0.02090267650783062,86.20689655172413,13.793103448275861,72,36,True
IBM.US,0.0005578769487328827,0.01615319587290287,68.61702127659575,31.382978723404253,37,18,True
IEV.US,0.0013963603414595127,0.01120811328291893,51.46666666666667,48.53333333333333,2,1,True
IFF.US,0.00047160006943158805,0.015898481011390686,70.27027027027027,29.72972972972973,40,20,True
